"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","variable","name"
"X25",-0.150127498436033,0.226614405500026,-0.149958797554776,0.0620451164169552,-0.108428468455845,-0.023967739695253,"X25","l-lateralorbitofrontal"
"X26",-0.103909207981953,0.000228404503417405,-0.221109202019887,0.0293248927299358,0.194386862644271,-0.150105330346133,"X26","l-lingual"
"X27",-0.182708598568189,0.207396648013329,0.125422873137097,-0.0653665662078276,-0.0860526856321429,0.118064343451388,"X27","l-medialorbitofrontal"
"X28",-0.167858697376904,0.121648670713153,-0.285047542867867,0.131600870083614,0.09190164918488,-0.0169645228936014,"X28","l-middletemporal"
"X29",-0.120661974002149,0.128352261039946,-0.167752738250549,0.0149604834598769,0.286978285425606,-0.251273650388326,"X29","l-parahippocampal"
"X30",-0.181967560313966,0.180450255814656,0.0103744810303897,-0.0024313706828129,-0.0569387843232555,0.150061685350224,"X30","l-paracentral"
"X31",-0.220720586332004,-0.0694246060824038,0.0692810333900815,0.14713227077965,-0.0930606199096306,0.0303590354442319,"X31","l-parsopercularis"
"X32",-0.191425718481202,0.110730077202261,-0.061005570568319,-0.0817280094978778,-0.254185109777912,0.0414985213433401,"X32","l-parsorbitalis"
"X33",-0.215089844247635,0.0911115824024608,-0.00308673644916284,0.0774082768347265,-0.153728925295104,0.148135248576253,"X33","l-parstriangularis"
"X34",-0.113140764408652,0.201281681492672,-0.117320258812189,0.115392805289464,0.0127312756908,-0.36391357596839,"X34","l-pericalcarine"
"X35",-0.165511287417329,0.180850878403371,-0.189140034678613,0.0344839154582904,-0.209190875286443,0.251914455199158,"X35","l-postcentral"
"X36",-0.195555575290909,0.105814215376955,-0.0168892509214687,-0.0663374235296846,0.0975325928746704,0.0672491982903188,"X36","l-posteriorcingulate"
"X37",-0.146865015523304,0.12233046172926,0.01720642002038,0.0230033157012491,-0.167315230979003,0.161507360391733,"X37","l-precentral"
"X38",-0.176560378533377,0.214770284417942,-0.097950548523238,-0.0259497508137918,0.071012522442796,0.0550152159578865,"X38","l-precuneus"
"X39",-0.108100985736867,0.230154236117887,0.13427324973384,-0.142221773920309,-0.0649910185141389,-0.226136022140382,"X39","l-rostralanteriorcingulate"
"X40",-0.19392311309792,0.118939625666692,0.196684082133266,0.0118397982883692,-0.127565374891472,0.221237777898411,"X40","l-rostralmiddlefrontal"
"X41",-0.187960525538653,-0.0320158479083443,0.19245065842303,0.082058535896028,-0.131703897961922,0.122163591987289,"X41","l-superiorfrontal"
"X42",-0.167157467588983,0.232357289556126,-0.220864162740625,0.00021474034976641,-0.0391980408803907,0.204384342828149,"X42","l-superiorparietal"
"X43",-0.175119825904405,0.0361733301990961,-0.302735436738653,0.112780793751978,0.0522323081183579,-0.0749342094382222,"X43","l-superiortemporal"
"X44",-0.119857447791865,0.0654536545415186,-0.234506543602665,0.125588233209582,0.113268202083302,-0.151392284207191,"X44","l-supramarginal"
"X45",-0.153760617365704,0.232661189541815,0.124685903572955,-0.0315714497739154,-0.0754383013183838,0.0993075677778427,"X45","l-frontalpole"
"X46",-0.143650255669766,0.10706434365969,-0.197823952301129,0.0771092864402027,0.0622328394862663,-0.066644467208898,"X46","l-temporalpole"
"X47",-0.0674175429783934,0.17283851047523,-0.111840218148538,0.00157650212525262,0.0688422243646291,-0.0198884156557186,"X47","l-transversetemporal"
