"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","variable","name"
"X36",-0.144187211358331,0.151672992920915,-0.00150236216482734,-0.11692441353274,0.0209873573675873,-0.210700676556806,"X36","l-posteriorcingulate"
"X37",-0.0911092831244338,0.0927142003870303,-0.0553645286886185,-0.0207339519037882,0.0933143367048228,0.0240600460244362,"X37","l-precentral"
"X38",-0.275178197624809,0.129163891803461,0.148242201911288,-0.128888434539104,0.0598625340007271,-0.0905726188047016,"X38","l-precuneus"
"X39",-0.118702935899019,0.0871250765542351,-0.0664206677933828,0.0193065616545808,-0.305879505398843,-0.0771071091826096,"X39","l-rostralanteriorcingulate"
"X40",-0.158427331356167,0.0983726309337995,-0.0618539177438264,-0.0325696564789928,-0.125022624250603,0.118433596123238,"X40","l-rostralmiddlefrontal"
"X41",-0.0822426802715572,0.191758822592685,-0.240280137022214,-0.0965623789736323,0.0572655693776469,-0.0439236651554891,"X41","l-superiorfrontal"
"X42",-0.23630696691205,0.0827378685762953,0.126737019319169,-0.161634265964547,0.111034026964172,0.0118221857487248,"X42","l-superiorparietal"
"X43",-0.14825221627964,0.0890847357470821,0.244665356490911,-0.216407645888951,0.0869405494206299,0.0322404777955655,"X43","l-superiortemporal"
"X44",-0.0767179521040497,0.0436152136292913,0.174328233633173,-0.203731969702428,-0.0170390307338371,-0.098757236566926,"X44","l-supramarginal"
"X45",-0.0683159970354507,0.046641800940665,0.0539642546997766,0.00899445523519021,0.0385992590055289,0.0430659199123663,"X45","l-frontalpole"
"X46",-0.0261865885604028,0.0360650046043629,0.174848487834502,-0.0735310360214555,-0.0178704789137047,-0.0158065445915201,"X46","l-temporalpole"
"X47",-0.155400788128247,0.0644022114032376,0.197477540549042,-0.115256365045476,-0.0364481010100162,-0.120401303902382,"X47","l-transversetemporal"
"X48",-0.112512242519865,0.1028193722535,0.152336811148027,-0.247793856023406,0.0789129426920867,0.197952390123801,"X48","l-insula"
"X49",-0.19254844488794,0.106242331194712,-0.0797482098279197,0.20222450973597,-0.0226024667660293,-0.0259684135185584,"X49","r-bankssts"
"X50",-0.0911309056229201,0.157439983948257,-0.0142398366850225,0.0458329385370038,-0.13477839181816,0.134314403102289,"X50","r-caudalanteriorcingulate"
"X51",-0.0990839650018258,0.157608163445869,-0.182961854367327,0.0576931587668416,0.0411975307239512,-0.0928111566627231,"X51","r-caudalmiddlefrontal"
"X52",-0.334887820206684,0.0857055433835308,0.149258372723675,0.0387958913311828,-0.124028701598991,-0.0159521752843082,"X52","r-cuneus"
"X53",-0.289897148021892,0.0451835948353481,0.140620668515072,-0.0105484330644042,0.113463259058515,-0.0584084439628166,"X53","r-entorinal"
"X54",-0.338919274320323,0.0717640841956876,0.136929463288474,0.00351473800071487,-0.00502810562062504,0.0681211543795665,"X54","r-fusiform"
"X55",-0.325136811020989,0.132296390049276,-0.139890691120985,0.102819779685075,0.0895104899995991,-0.0783790852368763,"X55","r-inferiorparietal"
"X56",-0.344676100698325,0.102162140828159,-0.00393171561737302,0.0969844429045058,-0.00323047084929768,-0.105246504939468,"X56","r-inferiortemporal"
"X57",-0.331003115138988,0.0980387798435537,0.0146740673304021,-0.0870375615678945,0.106278417663135,-0.142475480321569,"X57","r-isthmuscingulate"
"X58",-0.299069990417106,0.0877581425683853,0.133376180686444,0.0902480053689284,-0.0940751192980569,0.0416401805257855,"X58","r-lateraloccipital"
"X59",-0.345892263951342,0.116194864272956,-0.0853333268035425,0.0756057100335876,-0.126617103678784,0.146846331813208,"X59","r-lateralorbitofrontal"
"X60",-0.374868297862598,0.089420857901914,0.116796685640574,0.108617910214687,-0.181037208826007,-0.0169408650066402,"X60","r-lingual"
"X61",-0.197164328089925,0.125247974764798,-0.272009707064592,0.0745664003919964,-0.145146434337456,0.179970544782042,"X61","r-medialorbitofrontal"
"X62",-0.314660446855801,0.14375855011322,-0.11587469886402,0.149751597234387,-0.0881974253527584,0.0644982210189296,"X62","r-middletemporal"
"X63",-0.267417365331441,0.0504134652121278,0.0538872878018369,-0.0677573884354204,0.204643286000745,-0.0160382868634239,"X63","r-parahippocampal"
"X64",-0.186075977435845,0.192707482848122,-0.0586135422856984,0.0250955533183012,0.433290292822064,-0.301428461890163,"X64","r-paracentral"
"X65",-0.0422300713094361,0.203172448130389,-0.225613434139412,0.192671423714675,-0.31548443457148,0.119933189581408,"X65","r-parsopercularis"
"X66",-0.281603319247822,0.138373114690517,-0.151278758928694,0.135939230999358,-0.118574417951162,0.202204323441172,"X66","r-parsorbitalis"
"X67",-0.108349790928238,0.197697102314353,-0.216055330038344,0.223089587948673,-0.239551291133966,0.255981037722626,"X67","r-parstriangularis"
"X68",-0.317089296600226,0.0682219303069442,0.124720099109739,0.0658142229806237,-0.179788717658952,-0.0542974143343828,"X68","r-pericalcarine"
"X69",-0.210840908635898,0.137217752709012,-0.169147657321361,0.06628603990421,0.118883177340505,-0.260656767810197,"X69","r-postcentral"
"X70",-0.15552948252017,0.158981770326734,0.0154504284248461,-0.0687421860307477,0.140881102604128,-0.0590623962327156,"X70","r-posteriorcingulate"
"X71",-0.0977893130707024,0.16653819756092,-0.187940898967953,0.0326110180748244,0.197597504152108,-0.263989873343193,"X71","r-precentral"
"X72",-0.356500034393727,0.177819161382051,-0.0597071753891819,-0.0762872612888636,0.181332127348663,-0.188280076657741,"X72","r-precuneus"
"X73",-0.154312513499247,0.0838802110836696,-0.0976963504623474,0.10630861942125,-0.214932693704298,0.154575428306055,"X73","r-rostralanteriorcingulate"
"X74",-0.151265977768309,0.188058136472737,-0.188978018744863,0.117028719950586,-0.200163511232788,0.285562618800724,"X74","r-rostralmiddlefrontal"
"X75",0.0740154626765718,0.246047419862224,-0.314255035925858,0.0280445922861317,0.0959640912228689,-0.0763690009662779,"X75","r-superiorfrontal"
"X76",-0.261090261684753,0.154187111831349,-0.126438050613356,0.0069028983257453,0.256389341973015,-0.224177835654524,"X76","r-superiorparietal"
"X77",-0.343613192902763,0.127007080411534,0.019979453263616,0.117906860813864,-0.0457728478263068,-0.0819030996322489,"X77","r-superiortemporal"
"X78",-0.197572752568574,0.119946940116568,-0.259118029036494,0.184528393736212,-0.100334739977559,0.0523819898797452,"X78","r-supramarginal"
"X79",-0.257873739583679,0.113227016627897,-0.211045302948897,0.0778558688107822,-0.0589431561089599,0.366765394763587,"X79","r-frontalpole"
"X80",-0.353136978035499,0.0808738844987462,0.00758165665340805,0.0500384996131148,-0.0134695927730538,0.0445179404595356,"X80","r-temporalpole"
"X81",-0.231503849470055,0.047218440802931,0.00672326120159998,0.0946884375323388,-0.0090078772709169,0.0545474292452639,"X81","r-transversetemporal"
"X82",-0.294118722712361,0.153770864254434,-0.000430781557676114,0.144632042282353,-0.259954788353617,0.0708169077109275,"X82","r-insula"
